X,Y
913 , 136    
915 , 127    
917 , 116    
919 , 127    
921 , 136    
923 , 121    
925 , 119    
927 , 133    
929 , 130    
931 , 116    
933 , 130    
935 , 130    
937 , 113    
939 , 116    
941 , 130    
943 , 121    
945 , 107    
947 , 127    
949 , 133    
951 , 133    
953 , 138    
955 , 121    
957 , 116    
959 , 133    
961 , 127    
963 , 113    
965 , 107    
967 , 116    
969 , 93     
971 , 59     
973 , 65     
975 , 68     
977 , 62     
979 , 59     
981 , 65     
983 , 65     
985 , 59     
987 , 68     
989 , 70     
991 , 65     
993 , 59     
995 , 45     
997 , 93     
999 , 93     
1001, 85     
1003, 82     
1005, 68     
1007, 59     
1009, 59     
1011, 53     
1013, 48     
1015, 51     
1017, 48     
1019, 45     
1021, 48     
1023, 56     
1025, 62     
1027, 73     
1029, 116    
1031, 144    
1033, 144    
1035, 144    
1037, 147    
1039, 150    
1041, 150    
1043, 150    
1045, 144    
1047, 147    
1049, 144    
1051, 144    
1053, 144    
1055, 150    
1057, 147    
1059, 150    
1061, 150    
1063, 147    
1065, 150    
1067, 150    
1069, 147    
1071, 147    
1073, 147    
1075, 150    
1077, 144    
1079, 147    
1081, 150    
1083, 147    
1085, 147    
1087, 150    
1089, 150    
1091, 147    
1093, 147    
1095, 147    
1097, 150    
1099, 150    
1101, 147    
1103, 147    
1105, 147    
1107, 150    
1109, 150    
1111, 144    
1113, 141    
1115, 144    
1117, 144    
1119, 138    
1121, 141    
1123, 158    
1125, 155    
1127, 158    
1129, 158    
1131, 158    
1133, 158    
1135, 153    
1137, 141    
1139, 130    
1141, 110    
1143, 102    
1145, 85     
1147, 48     
1149, 17     
1151, 93     
1153, 93     
1155, 93     
1157, 116    
1159, 121    
1161, 119    
1163, 138    
1165, 153    
1167, 153    
1169, 155    
1171, 141    
1173, 127    
1175, 119    
1177, 136    
1179, 155    
1181, 155    
1183, 155    
1185, 155    
1187, 150    
1189, 153    
1191, 155    
1193, 150    
1195, 153    
1197, 155    
1199, 147    
1201, 150    
1203, 153    
1205, 150    
1207, 150    
1209, 153    
1211, 150    
1213, 144    
1215, 153    
1217, 155    
1219, 147    
1221, 153    
1223, 150    
1225, 153    
1227, 150    
1229, 153    
1231, 153    
1233, 147    
1235, 150    
1237, 150    
1239, 150    
1241, 150    
1243, 150    
1245, 153    
1247, 150    
1249, 150    
1251, 150    
1253, 144    
1255, 141    
1257, 144    
1259, 147    
1261, 141    
1263, 141    
1265, 144    
1267, 138    
1269, 136    
1271, 136    
1273, 138    
1275, 133    
1277, 133    
1279, 133    
1281, 121    
1283, 107    
1285, 104    
1287, 85     
1289, 68     
1291, 76     
1293, 87     
1295, 93     
1297, 90     
1299, 93     
1301, 96     
1303, 99     
1305, 99     
1307, 107    
1309, 110    
1311, 104    
1313, 104    
1315, 116    
1317, 107    
1319, 107    
1321, 119    
1323, 121    
1325, 116    
1327, 121    
1329, 119    
1331, 121    
1333, 113    
1335, 119    
1337, 116    
1339, 113    
1341, 110    
1343, 113    
